t,x,y,vx,vy,kinetic_energy
94.5872991377,1.0436992821,0.4978124288,0.0056960416,-0.0008758682,0.0000166060
94.5949176750,1.0437424606,0.4978056824,0.0056389880,-0.0008952097,0.0000162998
94.6025140670,1.0437850789,0.4977988082,0.0055815819,-0.0009146607,0.0000159953
94.6101022456,1.0438272137,0.4977917934,0.0055237224,-0.0009342555,0.0000156922
94.6176878087,1.0438688933,0.4977846317,0.0054653698,-0.0009540076,0.0000153902
94.6252722084,1.0439101220,0.4977773207,0.0054065150,-0.0009739199,0.0000150895
94.6328582277,1.0439509110,0.4977698565,0.0053471385,-0.0009939990,0.0000147900
94.6404445641,1.0439912494,0.4977622390,0.0052872526,-0.0010142408,0.0000144919
94.6480120513,1.0440310330,0.4977544868,0.0052270127,-0.0010345927,0.0000141960
94.6555754250,1.0440703375,0.4977465844,0.0051663065,-0.0010550928,0.0000139020
94.6631398003,1.0441091862,0.4977385252,0.0051050959,-0.0010757538,0.0000136096
94.6707287135,1.0441476938,0.4977302823,0.0050431912,-0.0010966397,0.0000133182
94.6783067357,1.0441856754,0.4977218924,0.0049808829,-0.0011176525,0.0000130292
94.6858853274,1.0442231858,0.4977133421,0.0049180815,-0.0011388225,0.0000127422
94.6934897793,1.0442603440,0.4977046007,0.0048545782,-0.0011602198,0.0000124565
94.7010853996,1.0442969751,0.4976957064,0.0047906650,-0.0011817461,0.0000121735
94.7086858526,1.0443331418,0.4976866423,0.0047262314,-0.0012034387,0.0000118928
94.7162922889,1.0443688448,0.4976774054,0.0046612707,-0.0012252997,0.0000116144
94.7239093844,1.0444041009,0.4976679883,0.0045957460,-0.0012473415,0.0000113384
94.7315139848,1.0444387995,0.4976584186,0.0045298612,-0.0012694956,0.0000110656
94.7391675915,1.0444732140,0.4976486166,0.0044630850,-0.0012919406,0.0000107941
94.7467997188,1.0445070213,0.4976386705,0.0043960350,-0.0013144689,0.0000105265
94.7544347137,1.0445403275,0.4976285480,0.0043285043,-0.0013371499,0.0000102620
94.7621021475,1.0445732545,0.4976182077,0.0042602339,-0.0013600707,0.0000099997
94.7697691200,1.0446056545,0.4976076918,0.0041915196,-0.0013831319,0.0000097409
94.7774463475,1.0446375682,0.4975969841,0.0041222705,-0.0014063641,0.0000094855
94.7851608194,1.0446690995,0.4975860442,0.0040522455,-0.0014298480,0.0000092326
94.7928781667,1.0447001004,0.4975749185,0.0039817597,-0.0014534779,0.0000089835
94.8006066158,1.0447305991,0.4975635935,0.0039107435,-0.0014772773,0.0000087381
94.8083535184,1.0447606181,0.4975520563,0.0038391340,-0.0015012671,0.0000084964
94.8161207003,1.0447901572,0.4975403019,0.0037669185,-0.0015254516,0.0000082583
94.8238840923,1.0448191197,0.4975283649,0.0036943271,-0.0015497537,0.0000080249
94.8317086722,1.0448477387,0.4975161425,0.0036207555,-0.0015743758,0.0000077943
94.8395456854,1.0448758246,0.4975037071,0.0035466646,-0.0015991634,0.0000075681
94.8474026466,1.0449033975,0.4974910445,0.0034719892,-0.0016241384,0.0000073463
94.8552850608,1.0449304686,0.4974781432,0.0033966826,-0.0016493165,0.0000071288
94.8631917265,1.0449570251,0.4974650024,0.0033207615,-0.0016746919,0.0000069160
