s x_s y_s F_val G_val
2.59 0.648309 2.02404 0.927839 -nan
2.6 0.643111 2.0155 0.941105 -nan
2.61 0.637999 2.00691 0.954444 -nan
2.62 0.632973 1.99826 0.967852 -nan
2.63 0.628034 1.98957 0.981322 -nan
2.64 0.623182 1.98082 0.994848 -nan
2.65 0.618418 1.97203 1.00843 -nan
2.66 0.613742 1.96319 1.02205 -nan
2.67 0.609154 1.95431 1.0357 -nan
2.68 0.604656 1.94537 1.04939 -nan
2.69 0.600247 1.9364 1.0631 -nan
2.7 0.595928 1.92738 1.07683 -nan
2.71 0.591699 1.91832 1.09056 -nan
2.72 0.587562 1.90921 1.1043 -nan
2.73 0.583515 1.90007 1.11803 -nan
2.74 0.57956 1.89088 1.13174 -nan
2.75 0.575698 1.88166 1.14543 -nan
2.76 0.571927 1.8724 1.15909 -nan
2.77 0.56825 1.8631 1.1727 -nan
2.78 0.564665 1.85376 1.18627 -nan
2.79 0.561175 1.84439 1.19978 -nan
2.8 0.557778 1.83499 1.21323 -nan
2.81 0.554475 1.82555 1.22659 -nan
2.82 0.551267 1.81608 1.23988 -nan
2.83 0.548153 1.80657 1.25307 -nan
2.84 0.545135 1.79704 1.26616 -nan
2.85 0.542213 1.78748 1.27914 -nan
2.86 0.539386 1.77789 1.292 -nan
2.87 0.536655 1.76827 1.30473 -nan
2.88 0.534021 1.75862 1.31732 -nan
2.89 0.531483 1.74895 1.32977 -nan
2.9 0.529042 1.73925 1.34206 -nan
2.91 0.526698 1.72953 1.35419 -nan
2.92 0.524451 1.71978 1.36615 -nan
2.93 0.522302 1.71002 1.37793 -nan
2.94 0.520251 1.70023 1.38952 -nan
2.95 0.518298 1.69042 1.40091 -nan
2.96 0.516443 1.6806 1.4121 -nan
2.97 0.514686 1.67075 1.42307 -nan
2.98 0.513028 1.66089 1.43383 -nan
2.99 0.511468 1.65101 1.44435 -nan
3 0.510008 1.64112 1.45464 -nan
3.01 0.508646 1.63121 1.46468 -nan
3.02 0.507383 1.62129 1.47446 -nan
3.03 0.50622 1.61136 1.48399 -nan
3.04 0.505156 1.60142 1.49325 -nan
3.05 0.504192 1.59146 1.50224 -nan
3.06 0.503327 1.5815 1.51094 -nan
3.07 0.502562 1.57153 1.51936 -nan
3.08 0.501896 1.56155 1.52749 -nan
